id,room_id,start_at,end_at,user_id,rssi
1,1,2022-07-04 18:06:24,2022-07-04 18:10:57,5,-83
4,3,2022-07-04 18:15:53,2022-07-04 18:28:13,5,-65
5,1,2022-07-04 18:29:11,2022-07-04 18:40:34,5,-80
6,1,2022-07-04 18:42:51,2022-07-04 19:01:01,5,-86
7,1,2022-07-04 19:03:18,2022-07-04 19:39:40,5,-84
8,1,2022-07-05 08:24:44,2022-07-05 08:28:01,1,-81
9,5,2022-07-05 08:28:01,2022-07-05 14:47:25,1,-74
10,1,2022-07-05 08:29:17,2022-07-05 09:37:46,12,-72
11,1,2022-07-05 08:33:50,2022-07-05 09:26:20,26,-72
12,2,2022-07-05 08:55:15,2022-07-05 08:56:11,18,-97
13,1,2022-07-05 08:56:35,2022-07-05 09:26:20,23,-72
14,1,2022-07-05 08:56:35,2022-07-05 09:21:46,24,-73
15,1,2022-07-05 08:58:52,2022-07-05 09:03:28,18,-79
16,1,2022-07-05 08:58:53,2022-07-05 10:34:59,20,-75
17,1,2022-07-05 09:01:10,2022-07-05 09:42:21,22,-76
18,1,2022-07-05 09:01:10,2022-07-05 10:37:17,17,-69
19,1,2022-07-05 09:05:45,2022-07-05 10:34:59,18,-73
20,1,2022-07-05 09:05:45,2022-07-05 09:33:12,2,-82
21,1,2022-07-05 09:05:46,2022-07-05 09:10:20,11,-74
22,1,2022-07-05 09:12:38,2022-07-05 10:21:12,11,-77
23,1,2022-07-05 09:14:55,2022-07-05 09:44:38,25,-75
24,1,2022-07-05 09:24:03,2022-07-05 10:37:17,24,-64
25,1,2022-07-05 09:28:38,2022-07-05 10:37:17,26,-71
26,1,2022-07-05 09:28:38,2022-07-05 10:34:59,23,-73
27,1,2022-07-05 09:35:29,2022-07-05 10:28:06,2,-74
28,1,2022-07-05 09:40:04,2022-07-05 10:37:18,12,-80
29,1,2022-07-05 09:44:38,2022-07-05 10:37:18,22,-66
30,1,2022-07-05 09:46:55,2022-07-05 10:39:35,25,-78
31,1,2022-07-05 09:53:47,2022-07-05 10:23:30,10,-72
32,1,2022-07-05 10:02:55,2022-07-05 12:13:23,6,-69
33,1,2022-07-05 10:09:46,2022-07-05 11:23:12,4,-80
34,1,2022-07-05 10:21:13,2022-07-05 12:24:49,13,-76
35,1,2022-07-05 10:23:31,2022-07-05 14:25:40,11,-84
36,1,2022-07-05 10:25:48,2022-07-05 11:50:35,10,-72
37,1,2022-07-05 10:30:24,2022-07-05 18:20:14,2,-78
38,1,2022-07-05 10:39:36,2022-07-05 11:30:04,12,-81
39,3,2022-07-05 10:40:22,2022-07-05 10:46:31,25,-91
40,1,2022-07-05 10:42:05,2022-07-05 12:24:49,16,-69
41,1,2022-07-05 11:25:30,2022-07-05 14:07:24,4,-68
42,1,2022-07-05 11:32:21,2022-07-05 12:36:13,12,-75
43,1,2022-07-05 11:52:52,2022-07-05 12:27:06,10,-74
44,1,2022-07-05 12:15:41,2022-07-05 18:20:15,6,-74
45,1,2022-07-05 12:29:23,2022-07-05 12:54:27,10,-76
46,1,2022-07-05 12:52:10,2022-07-05 14:25:41,12,-75
47,2,2022-07-05 14:07:45,2022-07-05 14:08:40,4,-87
48,1,2022-07-05 14:09:41,2022-07-05 14:14:15,4,-74
49,2,2022-07-05 14:15:06,2022-07-05 14:16:01,4,-80
50,2,2022-07-05 14:17:52,2022-07-05 14:18:47,4,-78
51,2,2022-07-05 14:19:42,2022-07-05 14:24:18,4,-81
52,2,2022-07-05 14:25:13,2022-07-05 14:36:14,4,-76
53,1,2022-07-05 14:27:58,2022-07-05 15:36:22,12,-71
54,1,2022-07-05 14:27:58,2022-07-05 18:20:15,11,-73
55,1,2022-07-05 14:32:32,2022-07-05 15:47:46,10,-65
56,2,2022-07-05 14:37:09,2022-07-05 14:39:55,4,-71
57,2,2022-07-05 14:40:50,2022-07-05 14:46:21,4,-73
58,1,2022-07-05 14:43:56,2022-07-05 15:45:29,24,-84
59,1,2022-07-05 14:43:57,2022-07-05 14:55:21,18,-76
60,1,2022-07-05 14:48:30,2022-07-05 16:28:46,4,-74
61,1,2022-07-05 14:59:54,2022-07-05 15:47:46,18,-87
62,1,2022-07-05 15:50:03,2022-07-05 16:03:43,10,-86
63,1,2022-07-05 16:08:16,2022-07-05 16:10:33,10,-93
64,1,2022-07-05 16:24:13,2022-07-05 16:26:29,10,-100
65,1,2022-07-05 16:31:03,2022-07-05 18:20:15,4,-76
66,3,2022-07-05 16:37:22,2022-07-05 19:23:33,28,-80
67,1,2022-07-05 16:42:26,2022-07-05 16:53:49,10,-91
68,1,2022-07-06 08:13:28,2022-07-06 08:25:42,1,-78
69,5,2022-07-06 08:25:43,2022-07-06 13:31:41,1,-73
70,3,2022-07-06 10:52:25,2022-07-06 19:05:01,28,-84
71,1,2022-07-06 11:44:42,2022-07-06 14:33:00,6,-70
72,1,2022-07-06 13:04:14,2022-07-06 14:12:31,11,-73
73,1,2022-07-06 13:40:40,2022-07-06 14:33:00,5,-74
74,1,2022-07-06 14:03:25,2022-07-06 14:33:00,4,-71
75,1,2022-07-06 14:14:48,2022-07-06 14:33:01,11,-69
76,1,2022-07-06 15:43:24,2022-07-06 16:17:33,6,-81
77,1,2022-07-06 15:43:24,2022-07-06 16:17:34,4,-75
78,1,2022-07-06 15:43:25,2022-07-06 16:03:53,3,-77
79,1,2022-07-06 16:03:54,2022-07-06 16:22:07,7,-73
80,1,2022-07-06 16:06:11,2022-07-06 16:19:50,3,-72
81,1,2022-07-06 17:50:40,2022-07-06 17:52:57,4,-95
82,1,2022-07-07 08:27:02,2022-07-07 08:29:29,1,-87
83,5,2022-07-07 08:29:29,2022-07-07 17:46:20,1,-70
84,3,2022-07-07 11:16:45,2022-07-07 11:19:46,20,-81
85,1,2022-07-07 11:19:46,2022-07-07 14:33:29,20,-72
86,1,2022-07-07 11:51:36,2022-07-07 13:06:49,6,-73
87,1,2022-07-07 12:02:59,2022-07-07 15:35:04,23,-68
88,1,2022-07-07 12:09:49,2022-07-07 12:48:35,11,-76
89,1,2022-07-07 12:16:39,2022-07-07 16:20:42,4,-68
90,1,2022-07-07 12:16:39,2022-07-07 13:02:15,17,-76
91,1,2022-07-07 12:44:00,2022-07-07 13:09:06,12,-80
92,1,2022-07-07 12:44:01,2022-07-07 12:46:18,18,-88
93,1,2022-07-07 12:50:52,2022-07-07 13:50:11,11,-66
94,1,2022-07-07 13:04:32,2022-07-07 13:06:49,17,-55
95,1,2022-07-07 13:09:06,2022-07-07 14:28:55,6,-65
96,1,2022-07-07 13:09:06,2022-07-07 13:50:12,17,-54
97,1,2022-07-07 13:11:23,2022-07-07 15:05:23,12,-76
98,1,2022-07-07 13:52:29,2022-07-07 15:44:13,17,-56
99,1,2022-07-07 13:52:29,2022-07-07 16:04:44,11,-69
100,1,2022-07-07 14:31:12,2022-07-07 15:37:23,6,-79
101,1,2022-07-07 14:38:02,2022-07-07 14:53:59,22,-74
102,1,2022-07-07 14:56:16,2022-07-07 15:28:09,22,-66
103,1,2022-07-07 15:30:28,2022-07-07 16:32:06,22,-65
104,1,2022-07-07 15:39:40,2022-07-07 17:19:55,6,-67
105,1,2022-07-07 15:46:30,2022-07-07 16:00:10,17,-62
106,1,2022-07-07 16:02:27,2022-07-07 17:44:56,17,-68
107,1,2022-07-07 16:07:02,2022-07-07 16:09:19,11,-65
108,1,2022-07-07 16:20:42,2022-07-07 16:29:49,20,-75
109,3,2022-07-07 16:24:18,2022-07-07 17:19:46,4,-80
110,1,2022-07-07 16:32:06,2022-07-07 17:31:17,20,-64
111,1,2022-07-07 16:34:23,2022-07-07 18:03:06,22,-73
112,3,2022-07-07 17:19:47,2022-07-07 20:43:01,28,-80
113,1,2022-07-07 18:05:23,2022-07-07 18:16:45,22,-71
114,1,2022-07-07 18:28:06,2022-07-07 18:32:39,22,-70
115,5,2022-07-08 08:27:11,2022-07-08 20:10:54,1,-82
116,1,2022-07-08 09:15:51,2022-07-08 09:56:46,5,-79
117,3,2022-07-08 11:16:06,2022-07-08 13:00:49,28,-73
118,1,2022-07-08 12:13:03,2022-07-08 13:50:49,6,-79
119,1,2022-07-08 12:56:13,2022-07-08 15:19:53,22,-78
120,1,2022-07-08 13:14:25,2022-07-08 15:15:18,11,-66
121,1,2022-07-08 13:23:31,2022-07-08 13:25:26,2,-82
122,3,2022-07-08 13:25:27,2022-07-08 14:33:13,2,-62
123,1,2022-07-08 13:28:04,2022-07-08 13:32:37,5,-70
124,1,2022-07-08 13:53:06,2022-07-08 16:21:37,6,-65
125,1,2022-07-08 14:13:35,2022-07-08 14:38:49,4,-76
126,1,2022-07-08 14:31:48,2022-07-08 14:34:05,5,-77
127,3,2022-07-08 14:33:13,2022-07-08 14:34:06,28,-92
128,1,2022-07-08 14:34:06,2022-07-08 15:56:30,28,-75
129,1,2022-07-08 14:34:07,2022-07-08 15:38:07,2,-58
130,1,2022-07-08 14:38:49,2022-07-08 18:20:32,23,-72
131,2,2022-07-08 14:39:22,2022-07-08 14:43:57,4,-71
132,2,2022-07-08 14:44:52,2022-07-08 14:46:43,4,-75
133,2,2022-07-08 14:48:33,2022-07-08 14:50:24,4,-69
134,2,2022-07-08 14:51:19,2022-07-08 15:06:00,4,-70
