date,count_first_shot_general,count_second_shot_general,count_third_shot_general,count_fourth_shot_general,count_fifth_shot_general,count_sixth_shot_general,count_seventh_shot_general,count_first_shot_general_wo_deceased,count_second_shot_general_wo_deceased,count_third_shot_general_wo_deceased,count_fourth_shot_general_wo_deceased,count_fifth_shot_general_wo_deceased,count_sixth_shot_general_wo_deceased,count_seventh_shot_general_wo_deceased
2021-04-12,4742,0,0,0,0,0,0,3512,0,0,0,0,0,0
2021-04-13,4352,0,0,0,0,0,0,2960,0,0,0,0,0,0
2021-04-14,5352,0,0,0,0,0,0,4100,0,0,0,0,0,0
2021-04-15,8936,0,0,0,0,0,0,7132,0,0,0,0,0,0
2021-04-16,10936,0,0,0,0,0,0,9518,0,0,0,0,0,0
2021-04-17,7717,0,0,0,0,0,0,6897,0,0,0,0,0,0
2021-04-18,8456,0,0,0,0,0,0,7820,0,0,0,0,0,0
2021-04-19,31242,0,0,0,0,0,0,25370,0,0,0,0,0,0
2021-04-20,48406,0,0,0,0,0,0,39297,0,0,0,0,0,0
2021-04-21,57829,0,0,0,0,0,0,47014,0,0,0,0,0,0
2021-04-22,55509,0,0,0,0,0,0,45644,0,0,0,0,0,0
2021-04-23,52308,0,0,0,0,0,0,44794,0,0,0,0,0,0
2021-04-24,35746,0,0,0,0,0,0,31732,0,0,0,0,0,0
2021-04-25,25579,0,0,0,0,0,0,23369,0,0,0,0,0,0
2021-04-26,56488,0,0,0,0,0,0,45630,0,0,0,0,0,0
2021-04-27,75121,0,0,0,0,0,0,61427,0,0,0,0,0,0
2021-04-28,81623,0,0,0,0,0,0,68320,0,0,0,0,0,0
2021-04-29,20446,0,0,0,0,0,0,17201,0,0,0,0,0,0
2021-04-30,61918,0,0,0,0,0,0,52354,0,0,0,0,0,0
2021-05-01,40698,0,0,0,0,0,0,36010,0,0,0,0,0,0
2021-05-02,27317,0,0,0,0,0,0,24677,0,0,0,0,0,0
2021-05-03,7412,806,0,0,0,0,0,6228,671,0,0,0,0,0
2021-05-04,8510,699,0,0,0,0,0,7263,497,0,0,0,0,0
2021-05-05,9838,910,0,0,0,0,0,8440,626,0,0,0,0,0
2021-05-06,47960,9293,0,0,0,0,0,39620,7298,0,0,0,0,0
2021-05-07,50860,11993,0,0,0,0,0,42462,10109,0,0,0,0,0
2021-05-08,63191,7733,0,0,0,0,0,56398,6820,0,0,0,0,0
2021-05-09,75860,8249,0,0,0,0,0,70085,7652,0,0,0,0,0
2021-05-10,106270,29081,0,0,0,0,0,89655,23600,0,0,0,0,0
2021-05-11,133798,45464,0,0,0,0,0,112264,36766,0,0,0,0,0
2021-05-12,163731,54393,0,0,0,0,0,140680,44177,0,0,0,0,0
2021-05-13,160258,53050,0,0,0,0,0,138112,43771,0,0,0,0,0
2021-05-14,136940,51951,0,0,0,0,0,118893,44699,0,0,0,0,0
2021-05-15,139871,35471,0,0,0,0,0,127595,31728,0,0,0,0,0
2021-05-16,190301,24351,0,0,0,0,0,176508,22244,0,0,0,0,0
2021-05-17,211885,52935,0,0,0,0,0,186664,42855,0,0,0,0,0
2021-05-18,258165,69000,0,0,0,0,0,225723,56364,0,0,0,0,0
2021-05-19,313597,72709,0,0,0,0,0,277045,60905,0,0,0,0,0
2021-05-20,327536,28569,0,0,0,0,0,290486,23816,0,0,0,0,0
2021-05-21,284760,61668,0,0,0,0,0,254224,52702,0,0,0,0,0
2021-05-22,288200,43106,0,0,0,0,0,264234,38551,0,0,0,0,0
2021-05-23,327572,28007,0,0,0,0,0,304321,25421,0,0,0,0,0
2021-05-24,454416,10353,0,0,0,0,0,406137,8688,0,0,0,0,0
2021-05-25,525620,11034,0,0,0,0,0,466697,9292,0,0,0,0,0
2021-05-26,582152,12715,0,0,0,0,0,519485,10799,0,0,0,0,0
2021-05-27,563735,45559,0,0,0,0,0,505041,37967,0,0,0,0,0
2021-05-28,537681,48514,0,0,0,0,0,486213,40567,0,0,0,0,0
2021-05-29,478787,60213,0,0,0,0,0,441860,53805,0,0,0,0,0
2021-05-30,465057,67779,0,0,0,0,0,434007,62726,0,0,0,0,0
2021-05-31,538558,96080,0,0,0,0,0,488978,81297,0,0,0,0,0
2021-06-01,659443,122738,0,0,0,0,0,596474,103219,0,0,0,0,0
2021-06-02,681441,150407,0,0,0,0,0,616932,128944,0,0,0,0,0
2021-06-03,685869,148899,0,0,0,0,0,622433,128282,0,0,0,0,0
2021-06-04,667770,126474,0,0,0,0,0,611266,109762,0,0,0,0,0
2021-06-05,625874,131829,0,0,0,0,0,583224,120194,0,0,0,0,0
2021-06-06,569970,183350,0,0,0,0,0,534711,170190,0,0,0,0,0
2021-06-07,675438,196298,0,0,0,0,0,617223,173099,0,0,0,0,0
2021-06-08,739439,239809,0,0,0,0,0,673062,209991,0,0,0,0,0
2021-06-09,725654,295319,0,0,0,0,0,660692,261328,0,0,0,0,0
2021-06-10,708240,312215,0,0,0,0,0,648911,277333,0,0,0,0,0
2021-06-11,716455,274497,0,0,0,0,0,660278,245582,0,0,0,0,0
2021-06-12,671350,279803,0,0,0,0,0,630120,256791,0,0,0,0,0
2021-06-13,610739,319034,0,0,0,0,0,577923,296645,0,0,0,0,0
2021-06-14,619467,423111,0,0,0,0,0,571088,378283,0,0,0,0,0
2021-06-15,669561,492134,0,0,0,0,0,614385,437671,0,0,0,0,0
2021-06-16,650159,544896,0,0,0,0,0,596726,486901,0,0,0,0,0
2021-06-17,657134,531015,0,0,0,0,0,605543,476072,0,0,0,0,0
2021-06-18,639070,508753,0,0,0,0,0,593624,460344,0,0,0,0,0
2021-06-19,675518,449120,0,0,0,0,0,639880,414083,0,0,0,0,0
2021-06-20,676081,442161,0,0,0,0,0,644979,412603,0,0,0,0,0
2021-06-21,706111,510840,0,0,0,0,0,661736,463476,0,0,0,0,0
2021-06-22,742838,620870,0,0,0,0,0,695041,561311,0,0,0,0,0
2021-06-23,755397,642930,0,0,0,0,0,708966,581755,0,0,0,0,0
2021-06-24,733133,643672,0,0,0,0,0,689832,584400,0,0,0,0,0
2021-06-25,721098,637287,0,0,0,0,0,682758,583525,0,0,0,0,0
2021-06-26,760131,595971,0,0,0,0,0,728910,555436,0,0,0,0,0
2021-06-27,786834,548803,0,0,0,0,0,757497,514698,0,0,0,0,0
2021-06-28,734776,649566,0,0,0,0,0,699126,594649,0,0,0,0,0
2021-06-29,790834,712912,0,0,0,0,0,751655,649715,0,0,0,0,0
2021-06-30,833745,709995,0,0,0,0,0,794681,647323,0,0,0,0,0
2021-07-01,638901,680050,0,0,0,0,0,615252,623184,0,0,0,0,0
2021-07-02,599831,692555,0,0,0,0,0,580950,638864,0,0,0,0,0
2021-07-03,891344,635486,0,0,0,0,0,863106,595841,0,0,0,0,0
2021-07-04,843054,568380,0,0,0,0,0,816578,537600,0,0,0,0,0
2021-07-05,941966,610211,0,0,0,0,0,905511,563260,0,0,0,0,0
2021-07-06,997407,658551,0,0,0,0,0,959023,604848,0,0,0,0,0
2021-07-07,1025279,639041,0,0,0,0,0,987163,586751,0,0,0,0,0
2021-07-08,1027789,636823,0,0,0,0,0,991397,586655,0,0,0,0,0
2021-07-09,1038354,640168,0,0,0,0,0,1004971,594807,0,0,0,0,0
2021-07-10,1042019,663386,0,0,0,0,0,1014181,627994,0,0,0,0,0
2021-07-11,766521,672633,0,0,0,0,0,749494,640657,0,0,0,0,0
2021-07-12,803141,652981,0,0,0,0,0,779596,609159,0,0,0,0,0
2021-07-13,873381,675643,0,0,0,0,0,847867,628520,0,0,0,0,0
2021-07-14,861452,684983,0,0,0,0,0,837292,639085,0,0,0,0,0
2021-07-15,842182,670340,0,0,0,0,0,819656,627116,0,0,0,0,0
2021-07-16,872159,656691,0,0,0,0,0,850955,617889,0,0,0,0,0
2021-07-17,830101,697872,0,0,0,0,0,814709,665992,0,0,0,0,0
2021-07-18,616771,719966,0,0,0,0,0,606017,690836,0,0,0,0,0
2021-07-19,500696,662032,0,0,0,0,0,490104,626374,0,0,0,0,0
2021-07-20,777307,726856,0,0,0,0,0,758330,687682,0,0,0,0,0
2021-07-21,745414,775454,0,0,0,0,0,728947,735813,0,0,0,0,0
2021-07-22,324188,347162,0,0,0,0,0,319467,334086,0,0,0,0,0
2021-07-23,253357,274690,0,0,0,0,0,249894,265909,0,0,0,0,0
2021-07-24,467267,853414,0,0,0,0,0,459979,822762,0,0,0,0,0
2021-07-25,420947,790335,0,0,0,0,0,414804,763619,0,0,0,0,0
2021-07-26,559763,926915,0,0,0,0,0,547451,887477,0,0,0,0,0
2021-07-27,609351,952538,0,0,0,0,0,596003,912714,0,0,0,0,0
2021-07-28,602214,985444,0,0,0,0,0,589712,946505,0,0,0,0,0
2021-07-29,606582,972506,0,0,0,0,0,594195,933859,0,0,0,0,0
2021-07-30,635786,1007864,0,0,0,0,0,624092,972578,0,0,0,0,0
2021-07-31,641451,1006413,0,0,0,0,0,632848,977216,0,0,0,0,0
2021-08-01,561003,701436,0,0,0,0,0,554162,685022,0,0,0,0,0
2021-08-02,570658,819761,0,0,0,0,0,560412,795481,0,0,0,0,0
2021-08-03,588106,871286,0,0,0,0,0,578034,845499,0,0,0,0,0
2021-08-04,576097,866120,0,0,0,0,0,566889,841433,0,0,0,0,0
2021-08-05,563816,888414,0,0,0,0,0,554618,864734,0,0,0,0,0
2021-08-06,583573,946093,0,0,0,0,0,574663,923139,0,0,0,0,0
2021-08-07,699731,891815,0,0,0,0,0,692062,875361,0,0,0,0,0
2021-08-08,610608,635995,0,0,0,0,0,604280,624852,0,0,0,0,0
2021-08-09,168966,219863,0,0,0,0,0,166590,216164,0,0,0,0,0
2021-08-10,488917,836716,0,0,0,0,0,480730,815271,0,0,0,0,0
2021-08-11,498378,742422,0,0,0,0,0,490670,724615,0,0,0,0,0
2021-08-12,492190,438009,0,0,0,0,0,485168,429724,0,0,0,0,0
2021-08-13,345745,330618,0,0,0,0,0,340802,325026,0,0,0,0,0
2021-08-14,354787,412114,0,0,0,0,0,351005,405305,0,0,0,0,0
2021-08-15,369762,380083,0,0,0,0,0,366181,374346,0,0,0,0,0
2021-08-16,434705,586094,0,0,0,0,0,428075,572867,0,0,0,0,0
2021-08-17,547076,704009,0,0,0,0,0,538895,688863,0,0,0,0,0
2021-08-18,577623,684106,0,0,0,0,0,569924,670272,0,0,0,0,0
2021-08-19,576701,642520,0,0,0,0,0,569081,629517,0,0,0,0,0
2021-08-20,615541,696362,0,0,0,0,0,608113,683864,0,0,0,0,0
2021-08-21,721838,725798,0,0,0,0,0,714876,715552,0,0,0,0,0
2021-08-22,627945,612241,0,0,0,0,0,622231,604264,0,0,0,0,0
2021-08-23,548934,652790,0,0,0,0,0,541384,641203,0,0,0,0,0
2021-08-24,612328,655344,0,0,0,0,0,603703,644249,0,0,0,0,0
2021-08-25,605127,637392,0,0,0,0,0,597306,626926,0,0,0,0,0
2021-08-26,570624,603767,0,0,0,0,0,563625,593943,0,0,0,0,0
2021-08-27,641876,668150,0,0,0,0,0,634575,658289,0,0,0,0,0
2021-08-28,730743,749658,0,0,0,0,0,724074,741052,0,0,0,0,0
2021-08-29,599495,632790,0,0,0,0,0,593708,625916,0,0,0,0,0
2021-08-30,390411,287637,0,0,0,0,0,385676,283319,0,0,0,0,0
2021-08-31,652216,536846,0,0,0,0,0,644021,527744,0,0,0,0,0
2021-09-01,647423,496491,0,0,0,0,0,639419,488558,0,0,0,0,0
2021-09-02,423132,505662,0,0,0,0,0,417983,498218,0,0,0,0,0
2021-09-03,742575,421570,0,0,0,0,0,734141,415497,0,0,0,0,0
