date,prefecture_code,prefecture_name,count_first_shot_general,count_second_shot_general,count_third_shot_general,count_fourth_shot_general,count_fifth_shot_general,count_sixth_shot_general,count_seventh_shot_general,count_first_shot_general_wo_deceased,count_second_shot_general_wo_deceased,count_third_shot_general_wo_deceased,count_fourth_shot_general_wo_deceased,count_fifth_shot_general_wo_deceased,count_sixth_shot_general_wo_deceased,count_seventh_shot_general_wo_deceased
2024-01-01,01,ñkäCìπ,4032308,4009407,3708576,2726539,1813056,1211140,794382,3883840,3865844,3610111,2665184,1790600,1211140,794382
2024-01-01,02,ê¬êXåß,1038123,1033069,943109,721626,476312,322934,215143,996392,992605,915497,704789,470508,322934,215143
2024-01-01,03,ä‚éËåß,999078,993726,936275,728250,485550,341814,235579,954859,950759,906709,709924,478035,341814,235579
2024-01-01,04,ã{èÈåß,1805011,1796171,1635719,1155299,750317,505229,343599,1742867,1735977,1595112,1130970,740891,505229,343599
2024-01-01,05,èHìcåß,807371,803698,768732,606115,402495,266496,168488,769687,767209,743829,590994,397679,266496,168488
2024-01-01,06,éRå`åß,884091,880153,826411,630305,425713,289645,193369,845601,842965,801508,615179,419715,289645,193369
2024-01-01,07,ïüìáåß,1508954,1499590,1395327,1057055,685850,461024,297761,1455405,1447859,1360889,1036063,678282,461024,297761
2024-01-01,08,àÔèÈåß,2356929,2345231,2109286,1512419,975616,635085,419013,2271763,2262638,2055677,1479944,961908,635085,419013
2024-01-01,09,ì»ñÿåß,1568033,1559239,1408565,1015191,649622,422508,277775,1509589,1502471,1370850,993314,640697,422508,277775
2024-01-01,10,åQînåß,1524185,1515463,1369777,950121,623146,412937,279193,1464259,1457203,1329896,926927,614000,412937,279193
2024-01-01,11,çÈã åß,5888906,5850845,5154887,3521623,2220992,1425369,964178,5700657,5668104,5033687,3452510,2194311,1425369,964178
2024-01-01,12,êÁótåß,5032278,5003732,4484834,3072198,1954157,1299427,889659,4872222,4847826,4381643,3016645,1933004,1299427,889659
2024-01-01,13,ìåãûìs,10832915,10756636,9352799,5986982,3610597,2253119,1471109,10464747,10399447,9125393,5866031,3559977,2253119,1471109
2024-01-01,14,ê_ìﬁêÏåß,7297730,7261868,6353000,4189084,2600257,1730721,1164784,7053560,7025217,6206934,4103824,2565642,1730721,1164784
2024-01-01,15,êVäÉåß,1803674,1796566,1679235,1274132,848880,590314,414545,1730567,1725514,1629283,1243148,836530,590314,414545
2024-01-01,16,ïxéRåß,848095,844719,755299,527408,339342,228297,152878,816210,813854,733745,514556,333776,228297,152878
2024-01-01,17,êŒêÏåß,879528,875443,783352,537269,342299,221297,142576,848683,845439,763246,525822,338197,221297,142576
2024-01-01,18,ïüà‰åß,598526,595376,544037,380753,243289,156076,98102,580921,578431,533377,374495,240920,156076,98102
